chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,46,1879,0.785882503,0.130434783,0.110344828,0.066666667,0,-0.018943144,-0.043083612,-0.390986207,-0.049344828,0.394896296,-0.128074074,0.398015152,-0.127234848,0.257666667,-0.165,-0.343253165,-0.063924051,-0.448121212,-0.031893939
House,47,1881,0.78271379,0.100323625,0.110294118,0.025157233,0,0.026343042,-0.025705502,-0.394977941,-0.068183824,0.387735849,-0.050754717,0.391086667,-0.042993333,0.331888889,-0.180111111,-0.332642857,-0.058428571,-0.461090909,-0.078530303
House,48,1883,0.724404256,0.216374269,0.275862069,0.096,0,-0.066353801,-0.029847953,-0.346916256,-0.052842365,0.377488,0.001824,0.384008621,0.009155172,0.293444444,-0.092666667,-0.281449612,-0.008705426,-0.461040541,-0.129783784
House,49,1885,0.749321267,0.147590361,0.181818182,0.090909091,0.006060606,-0.041533133,-0.029319277,-0.365705882,-0.093010695,0.383615385,0.053342657,0.388635036,0.060036496,0.269,-0.0995,-0.295877358,-0.088754717,-0.45708642,-0.098580247
House,50,1887,0.764893464,0.161094225,0.205882353,0.091503268,0.009287926,-0.00687538,-0.065960486,-0.370252941,-0.195617647,0.394640523,0.046895425,0.393475524,0.066027972,0.4113,-0.2267,-0.300319149,-0.210478723,-0.45675,-0.177236842
House,51,1889,0.795277946,0.118644068,0.171597633,0.065217391,0,0.031350282,-0.062039548,-0.383609467,-0.229893491,0.411668478,0.091038043,0.410802326,0.100645349,0.424083333,-0.046666667,-0.313955056,-0.274168539,-0.4611,-0.1806375
House,52,1891,0.766378838,0.235465116,0.279352227,0.04494382,0,-0.139101744,-0.135784884,-0.34145749,-0.236866397,0.424921348,0.044123596,0.421873563,0.036356322,0.5575,0.382,-0.278666667,-0.331704403,-0.454909091,-0.065511364
House,53,1893,0.791337719,0.192,0.236842105,0.045112782,0,-0.064168,-0.101725333,-0.351495614,-0.203026316,0.439842105,-9.55E-04,0.440230769,-0.006907692,0.423,0.257,-0.284985075,-0.322514925,-0.446308511,-0.032691489
House,54,1895,0.838072604,0.112021858,0.097087379,0.09486166,0.008426966,0.165579235,0.020620219,-0.422029126,-0.100368932,0.416043478,0.039071146,0.423179916,0.035447699,0.294214286,0.100928571,-0.337807692,-0.276,-0.450467532,-0.041064935
House,55,1897,0.819565609,0.113207547,0.151515152,0.033018868,0,0.092525606,0.055423181,-0.389136364,0.062090909,0.430429245,-0.041589623,0.435939698,-0.041698492,0.346076923,-0.039923077,-0.3225,0.159722222,-0.435269231,-0.0055
House,56,1899,0.801701829,0.111702128,0.195266272,0.015228426,0,0.058050532,-0.009930851,-0.36443787,-0.048976331,0.437263959,-0.009670051,0.439365079,-0.010582011,0.387625,0.011875,-0.2881625,-0.09695,-0.433,-0.005853933
House,57,1901,0.81625807,0.067204301,0.13125,0.009708738,0,0.085075269,-0.012287634,-0.36856875,0.01243125,0.44768932,-0.045150485,0.448069652,-0.039542289,0.4324,-0.2706,-0.290720588,0.004941176,-0.426108696,0.017967391
House,58,1903,0.813539189,0.071246819,0.153409091,0.004672897,0,0.086386768,-0.027119593,-0.363852273,-0.039823864,0.449686916,-0.006098131,0.449440758,-0.005246445,0.467,-0.066,-0.302064103,-0.112333333,-0.413030612,0.017887755
House,59,1905,0.824512814,0.037783375,0.094202899,0.007722008,0,0.158130982,-0.036790932,-0.379775362,-0.038789855,0.444737452,-0.035725869,0.44487451,-0.032627451,0.436,-0.23325,-0.308275,-0.181225,-0.408959184,0.019346939
House,60,1907,0.798701242,0.065162907,0.130952381,0.017391304,0,0.102473684,-0.025807018,-0.360214286,-0.054238095,0.438486957,-0.001908696,0.439358744,-0.003856502,0.410714286,0.060142857,-0.303985294,-0.114676471,-0.39845,-0.01314
House,61,1909,0.779352912,0.092269327,0.156424581,0.040540541,0.004987531,0.078802993,-0.027546135,-0.352659218,-0.017905028,0.426693694,-0.03531982,0.428778302,-0.032504717,0.3825,-0.095,-0.285876543,-0.072975309,-0.407857143,0.027612245
House,62,1911,0.739006816,0.171568627,0.261603376,0.035502959,0,-0.017063725,-0.006115196,-0.325468354,-0.038704641,0.413538462,0.030633136,0.414554878,0.02677439,0.3802,0.1572,-0.264205882,-0.135352941,-0.407960396,0.091435644
House,63,1913,0.711658217,0.251670379,0.338870432,0.050724638,0,-0.07645657,-0.006877506,-0.308013289,-0.045524917,0.403644928,0.049318841,0.404526316,0.045263158,0.3802,0.1572,-0.248539683,-0.170619048,-0.408375,0.165571429
House,64,1915,0.723630598,0.18510158,0.303418803,0.035,0,0.02279684,0.025979684,-0.313790598,0.082397436,0.40984,-0.044395,0.411117949,-0.051569231,0.36,0.2354,-0.247341463,-0.079902439,-0.387423423,0.262243243
House,65,1917,0.715689248,0.18722467,0.324444444,0.031390135,0,0.049235683,0.04877533,-0.307648889,0.119364444,0.408040359,-0.030161435,0.4089447,-0.037548387,0.375333333,0.237,-0.254808696,-0.068747826,-0.362890909,0.316027273
House,66,1919,0.715348039,0.153846154,0.279411765,0.040322581,0,0.08141978,0.06001978,-0.310848039,0.120044118,0.4045,0.001862903,0.406183333,-0.007216667,0.354,0.27425,-0.280988636,-0.216181818,-0.3335,0.375112069
House,67,1921,0.704152104,0.150776053,0.289855072,0.08681672,0.004454343,0.178277162,0.102490022,-0.309608696,0.318253623,0.394543408,0.005961415,0.396986667,0.00196,0.327909091,0.115090909,-0.319033333,-0.234966667,-0.306990741,0.471925926
House,68,1923,0.695694943,0.231788079,0.410138249,0.055793991,0.006666667,0.072238411,0.149810155,-0.288557604,0.243059908,0.407137339,0.053682403,0.408754386,0.049745614,0.3334,0.2332,-0.278009709,-0.023106796,-0.298087719,0.48354386
House,69,1925,0.675214919,0.245454545,0.437837838,0.088,0.098850575,0.107697727,0.152472727,-0.280518919,0.329048649,0.394696,0.008624,0.397393443,0.004655738,0.285,0.17,-0.294207792,0.004454545,-0.270759259,0.560472222
House,70,1927,0.668382288,0.271493213,0.439393939,0.124481328,0.102505695,0.080961538,0.154771493,-0.285979798,0.309010101,0.38240249,0.019983402,0.38375,0.01420339,0.3188,0.2928,-0.313090909,-0.044545455,-0.264290909,0.591854545
House,71,1929,0.652523215,0.272123894,0.450867052,0.155234657,0.093333333,0.117426991,0.124632743,-0.283653179,0.29816185,0.368870036,0.014635379,0.371617761,-0.004725869,0.329333333,0.293222222,-0.333243243,-0.128905405,-0.246585859,0.617383838
House,72,1931,0.616024459,0.35619469,0.502164502,0.2,0.372505543,0.044311947,0.147276549,-0.255692641,0.323597403,0.360331818,-0.035872727,0.360790698,-0.042348837,0.3406,0.2426,-0.294182609,-0.008626087,-0.217534483,0.652956897
House,73,1933,0.582579244,0.460850112,0.52484472,0.266666667,0.457013575,-0.091085011,0.095565996,-0.251487578,0.215263975,0.331091667,-0.24065,0.331091667,-0.24065,NA,NA,-0.294326829,-0.057580488,-0.17642735,0.693324786
House,74,1935,0.560696986,0.475113122,0.52293578,0.304761905,0.641203704,-0.118864253,0.063321267,-0.255620795,0.181633028,0.30507619,-0.27012381,0.305182692,-0.273903846,0.294,0.123,-0.300920561,-0.087182243,-0.169831858,0.690716814
House,75,1937,0.569508223,0.479820628,0.526470588,0.311827957,0.242494226,-0.135578475,0.076098655,-0.255970588,0.1692,0.313537634,-0.177301075,0.31375,-0.180565217,0.294,0.123,-0.306597345,-0.104823009,-0.155605263,0.712438596
